taxonomy	SM.03_01	SM.03_03	SM.04_01	SM.04_03	SM.08_01	SM.08_02	SM.08_03	SM.08_04	SM.08_05	SM.08_09	SM.08_13	SM.09_01	SM.09_03	SM.11_01	SM.11_03	SM.12_01	SM.12_03	SM.13_01	SM.13_03	SM.17_01	SM.17_03	SM.30_01	SM.30_03	SM.31_01	SM.31_03
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_KLE1615	0.38653	0.10305	0.82111	0.32629	0.54003	0.04495	0.10291	0.70919	0.00375	0.60718	0.23915	0.37596	0.69289	0.21175	0.40472	0.75785	1.35311	0.6026	0.63242	0.1956	0.00133	0.23171	0.00358	0.00509	0.00044
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecis	0.36581	1.46903	0.37449	0.96692	1.60928	6.06818	2.30932	2.98127	0.49829	3.66446	1.34185	1.85041	1.66985	1.04682	1.98232	0.63521	0.73972	2.55794	2.24453	0.40175	1.54032	0.11981	0.00203	0.44084	0.0623
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_phocaeensis	0.27316	0.11515	0	0	0.00171	0.14535	0.60509	0.08971	0.77875	0.66682	0	0	0	0	0	0	0	0	0	0	0	0.04533	0.30221	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium	0.26989	0.00064	0.00707	0	0	0.00457	0	0	0	0	0	0.02279	0.0103	0.54161	0.00045	0.04136	0.00128	0.22876	0.08826	0.00161	0.00718	0.20662	0.96621	0.00544	0.00133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT	0.23979	0.14182	0.20121	0.20506	0	0	0	0	0	0	0	0.09337	0.00202	0.0037	0	0	0	0.47101	0.01733	0	0	0.31306	0.01979	0.00222	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	0.23506	1.63676	0.43504	0.72834	0	0	0	0	0	0	0	0.25773	0.72444	1.13892	0.12493	0.52027	2.20518	2.78168	1.61738	0.01692	0.20988	0.33007	7.82211	0.01808	0.08876
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.23225	0.12797	0	0	0.08139	0.07292	0.07443	0.441	0.77079	0.55574	0.1922	0	0	1.67452	0.11052	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.22282	0.41618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11265	0.00452
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Dysosmobacter|s__Dysosmobacter_welbionis	0.2072	0.92795	0.0716	0.1325	0	0.13993	0.11336	0.11125	0.06749	0	0.05159	0.05482	0.02719	1.07741	0.18488	0.01666	0.06302	0.21806	0.09721	0.02778	0.12934	0.08167	0.59688	0.13727	0.25032
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_Marseille_Q3526	0.20259	0.35825	0.05604	0.07552	0	0	0	0	0	0	0	0	0	0.15083	0.05735	0.02373	0.00184	0	0	0.00632	0.00488	0.91336	1.02964	0.02393	0.06923
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_glycyrrhizinilyticus	0.16744	0.04414	0.05415	0.02519	0.00081	0	0.00129	0.0124	0	0.00953	0	0.01565	0	0.0638	0.04473	0.05805	0.00476	0.15471	0.02066	0.30605	0.02645	0.32935	0.12116	0.05577	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_plautii	0.16217	0.21175	0.21794	0.36904	0	0.27102	0.03337	0.02345	0.0169	0.01208	0.02064	0.00539	0.00706	0.38422	0.03877	0.03422	0.03284	0.29192	0.5162	0.41142	0.21246	0.20354	1.03548	0.07489	0.28082
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.15676	2.00785	0.03497	0.41641	0.05546	0.00317	0.0069	0.01764	0.19332	0.00516	0.02319	0.41354	0.09131	3.57292	0.30998	0.32715	0.17279	0.34505	1.63981	0.08039	0.05696	0.10682	2.80813	0.43517	0.05135
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Candidatus_Cibionibacter|s__Candidatus_Cibionibacter_quicibialis	0.13894	0.18576	0.34221	0.2832	8.50633	0.12953	0.26169	0.9685	0.09922	0.77635	1.76485	1.91931	1.51761	0.02986	0.00978	5.5692	0.04155	0.99746	0.27244	0.0005	0	0.07532	0	0.01316	0
k__Bacteria|p__Firmicutes|c__CFGB6261|o__OFGB6261|f__FGB6261|g__GGB74510|s__GGB74510_SGB47635	0.13367	0.37901	0	0	0.02971	0.83622	0.39944	0.13591	0.03986	0.19688	0.18036	0	0	0	0	0.02011	0.0153	0	0	0	0.00795	0.16138	1.1734	0	0.00858
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridiaceae_unclassified|s__Clostridiaceae_bacterium_AF18_31LB	0.12408	0	0.22034	0.04892	0	0	0	0	0	0	0	0.00361	0.02448	0.13638	0	0	0.01834	0.09884	0.02147	0	0	0	0	0.00172	0
